"","Loc.Id","ADO","State.Id","State.Name","City","Name"
"1","ABQ","LNM","NM","NEW MEXICO","ALBUQUERQUE","ALBUQUERQUE INTL SUNPORT"
"2","ACK","NONE","MA","MASSACHUSETTS","NANTUCKET","NANTUCKET MEML"
"3","ALB","NYC","NY","NEW YORK","ALBANY","ALBANY INTL"
"4","ANC","NONE","AK","ALASKA","ANCHORAGE","TED STEVENS ANCHORAGE INTL"
"5","ATL","ATL","GA","GEORGIA","ATLANTA","HARTSFIELD - JACKSON ATLANTA INTL"
"6","AUS","TEX","TX","TEXAS","AUSTIN","AUSTIN-BERGSTROM INTL"
"7","AVL","MEM","NC","NORTH CAROLINA","ASHEVILLE","ASHEVILLE RGNL"
"8","BDL","NONE","CT","CONNECTICUT","WINDSOR LOCKS","BRADLEY INTL"
"9","BGR","NONE","ME","MAINE","BANGOR","BANGOR INTL"
"10","BHM","JAN","AL","ALABAMA","BIRMINGHAM","BIRMINGHAM-SHUTTLESWORTH INTL"
"11","BNA","MEM","TN","TENNESSEE","NASHVILLE","NASHVILLE INTL"
"12","BOS","NONE","MA","MASSACHUSETTS","BOSTON","GENERAL EDWARD LAWRENCE LOGAN INTL"
"13","BQN","ATL","PR","PUERTO RICO","AGUADILLA","RAFAEL HERNANDEZ"
"14","BTV","NONE","VT","VERMONT","BURLINGTON","BURLINGTON INTL"
"15","BUF","NYC","NY","NEW YORK","BUFFALO","BUFFALO NIAGARA INTL"
"16","BUR","LAX","CA","CALIFORNIA","BURBANK","BOB HOPE"
"17","BWI","DCA","MD","MARYLAND","BALTIMORE","BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL"
"18","BZN","HLN","MT","MONTANA","BOZEMAN","BOZEMAN YELLOWSTONE INTL"
"19","CAE","ATL","SC","SOUTH CAROLINA","COLUMBIA","COLUMBIA METRO"
"20","CAK","DET","OH","OHIO","AKRON","AKRON-CANTON RGNL"
"21","CHO","DCA","VA","VIRGINIA","CHARLOTTESVILLE","CHARLOTTESVILLE-ALBEMARLE"
"22","CHS","ATL","SC","SOUTH CAROLINA","CHARLESTON","CHARLESTON AFB/INTL"
"23","CLE","DET","OH","OHIO","CLEVELAND","CLEVELAND-HOPKINS INTL"
"24","CLT","MEM","NC","NORTH CAROLINA","CHARLOTTE","CHARLOTTE/DOUGLAS INTL"
"25","CMH","DET","OH","OHIO","COLUMBUS","JOHN GLENN COLUMBUS INTL"
"26","CRW","BKW","WV","WEST VIRGINIA","CHARLESTON","YEAGER"
"27","CVG","MEM","KY","KENTUCKY","COVINGTON","CINCINNATI/NORTHERN KENTUCKY INTL"
"28","DAY","DET","OH","OHIO","DAYTON","JAMES M COX DAYTON INTL"
"29","DCA","DCA","DC","DIST. OF COLUMBIA","WASHINGTON","RONALD REAGAN WASHINGTON NTL"
"30","DEN","DEN","CO","COLORADO","DENVER","DENVER INTL"
"31","DFW","TEX","TX","TEXAS","DALLAS-FORT WORTH","DALLAS-FORT WORTH INTL"
"32","DSM","NONE","IA","IOWA","DES MOINES","DES MOINES INTL"
"33","DTW","DET","MI","MICHIGAN","DETROIT","DETROIT METRO WAYNE COUNTY"
"34","EGE","DEN","CO","COLORADO","EAGLE","EAGLE COUNTY RGNL"
"35","EWR","NYC","NJ","NEW JERSEY","NEWARK","NEWARK LIBERTY INTL"
"36","EYW","ORL","FL","FLORIDA","KEY WEST","KEY WEST INTL"
"37","FLL","ORL","FL","FLORIDA","FORT LAUDERDALE","FORT LAUDERDALE/HOLLYWOOD INTL"
"38","GRR","DET","MI","MICHIGAN","GRAND RAPIDS","GERALD R FORD INTL"
"39","GSO","MEM","NC","NORTH CAROLINA","GREENSBORO","PIEDMONT TRIAD INTL"
"40","GSP","ATL","SC","SOUTH CAROLINA","GREER","GREENVILLE SPARTANBURG INTL"
"41","HDN","DEN","CO","COLORADO","HAYDEN","YAMPA VALLEY"
"42","HNL","HNL","HI","HAWAII","HONOLULU","DANIEL K INOUYE INTL"
"43","HOU","TEX","TX","TEXAS","HOUSTON","WILLIAM P HOBBY"
"44","IAD","DCA","DC","DIST. OF COLUMBIA","WASHINGTON","WASHINGTON DULLES INTL"
"45","IAH","TEX","TX","TEXAS","HOUSTON","GEORGE BUSH INTCNTL/HOUSTON"
"46","ILM","MEM","NC","NORTH CAROLINA","WILMINGTON","WILMINGTON INTL"
"47","IND","CHI","IN","INDIANA","INDIANAPOLIS","INDIANAPOLIS INTL"
"48","JAC","DEN","WY","WYOMING","JACKSON","JACKSON HOLE"
"49","JAX","ORL","FL","FLORIDA","JACKSONVILLE","JACKSONVILLE INTL"
"50","JFK","NYC","NY","NEW YORK","NEW YORK","JOHN F KENNEDY INTL"
"51","LAS","PHX","NV","NEVADA","LAS VEGAS","HARRY REID INTL"
"52","LAX","LAX","CA","CALIFORNIA","LOS ANGELES","LOS ANGELES INTL"
"53","LEX","MEM","KY","KENTUCKY","LEXINGTON","BLUE GRASS"
"54","LGA","NYC","NY","NEW YORK","NEW YORK","LAGUARDIA"
"55","LGB","LAX","CA","CALIFORNIA","LONG BEACH","LONG BEACH (DAUGHERTY FLD)"
"56","MCI","NONE","MO","MISSOURI","KANSAS CITY","KANSAS CITY INTL"
"57","MCO","ORL","FL","FLORIDA","ORLANDO","ORLANDO INTL"
"58","MDW","CHI","IL","ILLINOIS","CHICAGO","CHICAGO MIDWAY INTL"
"59","MEM","MEM","TN","TENNESSEE","MEMPHIS","MEMPHIS INTL"
"60","MHT","NONE","NH","NEW HAMPSHIRE","MANCHESTER","MANCHESTER BOSTON RGNL"
"61","MIA","ORL","FL","FLORIDA","MIAMI","MIAMI INTL"
"62","MKE","CHI","WI","WISCONSIN","MILWAUKEE","GENERAL MITCHELL INTL"
"63","MSN","CHI","WI","WISCONSIN","MADISON","DANE COUNTY RGNL/TRUAX FLD"
"64","MSP","DMA","MN","MINNESOTA","MINNEAPOLIS","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN"
"65","MSY","LNM","LA","LOUISIANA","NEW ORLEANS","LOUIS ARMSTRONG NEW ORLEANS INTL"
"66","MTJ","DEN","CO","COLORADO","MONTROSE","MONTROSE RGNL"
"67","MVY","NONE","MA","MASSACHUSETTS","VINEYARD HAVEN","MARTHA'S VINEYARD"
"68","MYR","ATL","SC","SOUTH CAROLINA","MYRTLE BEACH","MYRTLE BEACH INTL"
"69","OAK","SFO","CA","CALIFORNIA","OAKLAND","METRO OAKLAND INTL"
"70","OKC","AOK","OK","OKLAHOMA","OKLAHOMA CITY","WILL ROGERS WORLD"
"71","OMA","NONE","NE","NEBRASKA","OMAHA","EPPLEY AIRFIELD"
"72","ORD","CHI","IL","ILLINOIS","CHICAGO","CHICAGO O'HARE INTL"
"73","ORF","DCA","VA","VIRGINIA","NORFOLK","NORFOLK INTL"
"74","PBI","ORL","FL","FLORIDA","WEST PALM BEACH","PALM BEACH INTL"
"75","PDX","SEA","OR","OREGON","PORTLAND","PORTLAND INTL"
"76","PHL","HAR","PA","PENNSYLVANIA","PHILADELPHIA","PHILADELPHIA INTL"
"77","PHX","PHX","AZ","ARIZONA","PHOENIX","PHOENIX SKY HARBOR INTL"
"78","PIT","HAR","PA","PENNSYLVANIA","PITTSBURGH","PITTSBURGH INTL"
"79","PSE","ATL","PR","PUERTO RICO","PONCE","MERCEDITA"
"80","PSP","LAX","CA","CALIFORNIA","PALM SPRINGS","PALM SPRINGS INTL"
"81","PVD","NONE","RI","RHODE ISLAND","PROVIDENCE","RHODE ISLAND TF GREEN INTL"
"82","PWM","NONE","ME","MAINE","PORTLAND","PORTLAND INTL JETPORT"
"83","RDU","MEM","NC","NORTH CAROLINA","RALEIGH/DURHAM","RALEIGH-DURHAM INTL"
"84","RIC","DCA","VA","VIRGINIA","RICHMOND","RICHMOND INTL"
"85","ROC","NYC","NY","NEW YORK","ROCHESTER","FREDERICK DOUGLASS/GREATER ROCHESTER INTL"
"86","RSW","ORL","FL","FLORIDA","FORT MYERS","SOUTHWEST FLORIDA INTL"
"87","SAN","LAX","CA","CALIFORNIA","SAN DIEGO","SAN DIEGO INTL"
"88","SAT","TEX","TX","TEXAS","SAN ANTONIO","SAN ANTONIO INTL"
"89","SAV","ATL","GA","GEORGIA","SAVANNAH","SAVANNAH/HILTON HEAD INTL"
"90","SBN","CHI","IN","INDIANA","SOUTH BEND","SOUTH BEND INTL"
"91","SDF","MEM","KY","KENTUCKY","LOUISVILLE","LOUISVILLE MUHAMMAD ALI INTL"
"92","SEA","SEA","WA","WASHINGTON","SEATTLE","SEATTLE-TACOMA INTL"
"93","SFO","SFO","CA","CALIFORNIA","SAN FRANCISCO","SAN FRANCISCO INTL"
"94","SJC","SFO","CA","CALIFORNIA","SAN JOSE","NORMAN Y MINETA SAN JOSE INTL"
"95","SJU","ATL","PR","PUERTO RICO","SAN JUAN","LUIS MUNOZ MARIN INTL"
"96","SLC","DEN","UT","UTAH","SALT LAKE CITY","SALT LAKE CITY INTL"
"97","SMF","SFO","CA","CALIFORNIA","SACRAMENTO","SACRAMENTO INTL"
"98","SNA","LAX","CA","CALIFORNIA","SANTA ANA","JOHN WAYNE/ORANGE COUNTY"
"99","SRQ","ORL","FL","FLORIDA","SARASOTA/BRADENTON","SARASOTA/BRADENTON INTL"
"100","STL","NONE","MO","MISSOURI","ST LOUIS","ST LOUIS LAMBERT INTL"
"101","STT","ATL","VI","VIRGIN ISLANDS","CHARLOTTE AMALIE","CYRIL E KING"
"102","SYR","NYC","NY","NEW YORK","SYRACUSE","SYRACUSE HANCOCK INTL"
"103","TPA","ORL","FL","FLORIDA","TAMPA","TAMPA INTL"
"104","TUL","AOK","OK","OKLAHOMA","TULSA","TULSA INTL"
"105","TVC","DET","MI","MICHIGAN","TRAVERSE CITY","CHERRY CAPITAL"
"106","TYS","MEM","TN","TENNESSEE","KNOXVILLE","MC GHEE TYSON"
"107","XNA","AOK","AR","ARKANSAS","FAYETTEVILLE/SPRINGDALE/ROGERS","NORTHWEST ARKANSAS NTL"
